"","x"
"1",-0.334234193411842
"2",0
"3",0.950994025087963
"4",0.678285292848045
"5",0.504334220458498
"6",-0.268860317245837
"7",0.295295909504243
"8",0.544608548966909
"9",0.959670445310113
"10",0
"11",-0.302753300439591
"12",2.76314279154434
"13",-0.286729121130653
"14",0
"15",-0.693136212105314
"16",-0.13664222661081
"17",-0.547124411175269
"18",0.77476255604142
"19",-0.205651571748874
"20",0.338864527672092
"21",0
"22",-0.526529261328315
"23",-0.446155623365765
"24",0.198358440206867
"25",0
"26",0
"27",1.10243585960894
"28",0.536449266125443
"29",0.282814911986216
"30",-0.396406194511112
"31",-1.34982895314103
